Dimension 1: POS_conc_freq,Code1,Count,,Dimension 2: Small Categories,Code2,Count,,Dimension 3: Large Categories,Code3,Count
adj_conc_high,1,7,,Action Categories,Code2,Count,,Intransitive_dirk,1,30
adj_conc_mid,2,24,,eating_verb,2,5,,Transitive_dirk,2,30
adj_conc_low,3,2,,ingestion_verb,9,5,,leg_verbs,3,28
adj_med_high,4,3,,grooming_verb,10,5,,emotion_svetlana,4,40
adj_med_mid,5,13,,vehicle_motion_verb,11,5,,mouth_verb,5,39
adj_med_low,6,1,,building_verb,12,5,,hand/arm_action_verb_SSJ,6,42
adj_abs_high,7,10,,attaching_verb,13,5,,nonaction_verb_SSJ,7,41
adj_abs_mid,8,26,,nonverbal_expression_verb,18,6,,superordinate_concrete,8,47
adj_abs_low,9,8,,household_verb,19,6,,animal,9,44
digit_conc_high,10,3,,slow_verb,20,7,,tools_manipulable_objects,10,105
digit_conc_mid,11,17,,vision_verb,27,10,,color,11,20
determiner_abs_high,12,10,,manner_of_motion_nonagentive,33,10,,noCode3,12,1168
preposition_conc_mid,13,1,,communication_verb,39,11,,picture,13,180
preposition_med_high,14,7,,body_internal_motion,41,10,,,,
preposition_med_mid,15,8,,internal_state_of_change,46,15,,Dimension 4: MIEO,Code4,Count
preposition_abs_high,16,21,,mental_verb,54,17,,Manner Verb,1,70
preposition_abs_mid,17,8,,affect_verb,57,20,,Instrument Verb,2,102
noun_conc_high,18,18,,sound_verb,63,18,,Event Noun,3,80
noun_conc_mid,19,349,,path_verbs,64,24,,Object Noun,4,80
noun_conc_low,20,63,,manner_of_motion_agentive,65,21,,NA,180,
noun_med_high,21,18,,social_verb,66,25,,,,
noun_med_mid,22,116,,fast_verb,71,18,,Dimension 5: Picture/Word Overlap,Code5,Count
noun_med_low,23,3,,result_verbs_external,74,34,,Yes,1,79
noun_abs_high,24,11,,verb_generic,81,70,,No,180,
noun_abs_med,25,108,,verb_noCode2,87,86,,,,
noun_abs_low,26,6,,pic_verb_instrument,97,15,,Dimension 6: Graves Phono/Ortho Consistency,Code6,Count
pronoun_conc_high,27,6,,pic_verb_manner,99,15,,high consistency,1,100
pronoun_conc_mid,28,2,,,,,,low consistency,2,100
pronoun_med_high,29,7,,Space and Time,Code2,Count,,NA,180,
pronoun_med_mid,30,4,,spatial_unit,1,5,,,,
pronoun_abs_high,31,6,,spatial_config,8,5,,Dimension 7: Passage Overlap,Code7,Count
pronoun_abs_mid,32,8,,temporal_unit,23,8,,adjective,1,58
ProperNoun,33,100,,spatial_uberordinate,47,11,,number,2,10
adv_conc_high,34,2,,spatial_preposition,51,14,,determiner,3,10
adv_conc_mid,35,2,,temporal,55,12,,preposition,4,41
adv_med_high,36,10,,spatial_adj,77,5,,noun,5,270
adv_med_mid,37,8,,,,,,pronoun,6,26
adv_med_low,38,1,,Pronouns,Code2,Count,,adverb,7,35
adv_abs_high,39,6,,demonstrative_pronoun,3,5,,verb,8,75
adv_abs_mid,40,16,,intensive_pronoun,14,6,,NA,180,
adv_abs_low,41,13,,possessive_pronoun,22,8,,,,
verb_conc_high,42,2,,relative_interrogative_pronoun,26,8,,Total overlap,,525
verb_conc_mid,43,156,,indefinite_pronoun,34,7,,,,
verb_conc_low,44,59,,personal_pronoun,43,13,,,,
verb_med_high,45,2,,,,,,,,
verb_med_mid,46,79,,Living Things,Code2,Count,,,,
verb_med_low,47,33,,insects,4,5,,,,
verb_abs_high,48,8,,vegetables,15,6,,,,
verb_abs_mid,49,89,,fruit,16,6,,,,
verb_abs_low,50,24,,zoo_animal,25,8,,,,
pronounceable_nonword,51,60,,domestic_animal,36,11,,,,
nonpronounceable_nonword,52,25,,birds,37,8,,,,
consonant_string_nonword,53,25,,local_wildlife,44,8,,,,
number_conc_high,54,3,,plant,58,5,,,,
number_conc_mid,55,17,,pic_obj_bird,88,5,,,,
real_picture,56,150,,pic_obj_fruit,96,5,,,,
nonsense_picture,57,30,,pic_obj_mammal,98,5,,,,
,,,,,,,,,,
Words,,1524,,Tools and Manipulable Items,Code2,Count,,,,
