Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,use,,OLD20,,BG-OLD,Len-OLD,bgsum-old,,STRING,LEN,FREQ,Orth,Orth_F,N1_F,N1_C,N2_F,N2_C,N3_F,N3_C,UN1_F,UN1_C,UN2_F,UN2_C,UN3_F,UN3_C
cales,5,15,"12,772","3,193.00","1,992",785.2,255.422,-0.066,30,0.938,x,cales,1.00,,-0.237064401,0.638927929,0.033467108,,acerboc,7,NA,1,0.12,2321.56,367.86,131.72,31,1.23,1.8,252667.77,33411.43,18300.9,3129.67,775.74,164.6
hets,4,14,"4,109","1,369.67",763,726.188,234.473,0.176,32,0.969,x,hets,1.00,,,,,,afoub,5,NA,1,0.12,4892.97,155.2,1013.22,9,0.91,1.33,196789.81,22427.4,15448.96,1315.5,539.4,42.67
dut,3,15,"1,301",650.5,462,747.242,181.163,0.17,33,0.97,x,dut,1.00,,,Correlations,,,alveoluk,8,NA,0,0,2164.53,491.12,157.78,28.14,0,1,219555.58,28319.75,10948.52,1659.43,286.36,49
pobs,4,9,"1,658",552.667,627,875.633,417.756,-0.062,30,0.909,,pobs,1.10,,,,,,anibi,5,NA,1,3.63,5288.2,178.8,135.88,9.5,1.31,0.67,269130.8,37629.4,19765.52,2540.25,619.83,197
cines,5,11,"14,645","3,661.25","1,454",800.138,274.235,-0.159,29,0.906,x,cines,1.15,,,,,,anomig,6,NA,0,0,4154.39,341.83,290.86,18,4.39,1.5,247297.19,32319,23577.11,2519.6,804.55,132.25
tains,5,7,"11,547","2,886.75","1,209",804.1,271.166,0.027,30,0.909,x,tains,1.20,,,,,,aphig,5,NA,2,0.06,4394.99,123.8,64.56,5.75,0.08,1.33,218900.09,27118,11413.56,1461,396.06,168
gire,4,12,"5,929","1,976.33",871,821.656,406.231,0.083,32,0.97,x,gire,1.20,,,,,,apopleky,8,NA,1,0.42,2657.08,659.25,231.52,55.86,23.34,4.17,208033.68,26826.75,8442.8,1653.71,858.79,85.17
woy,3,13,477,238.5,213,729.471,203.132,0.255,34,1,x,woy,1.25,,Variables on the left taken from ELP,,,,arpeggia,8,NA,1,1.25,2414.76,483.25,144.38,27.86,1.16,1,259972,35575.25,9013.29,1757.71,102.43,67
yit,3,12,"2,321","1,160.50",257,716.167,260.251,0.337,30,0.909,x,yit,1.30,,OLD20 calcluated by Python script provided by Emmanuel Keuleers,,,,augir,5,NA,2,0.21,6735.82,248.6,865.28,10.25,0.16,1,226404.93,32961.2,6194.16,971.25,383.65,47.67
lailing,7,7,"17,932","2,988.67","3,154",805.156,277.769,-0.025,32,0.97,x,lailing,1.35,,Variables on the right and below taken from MCWord database (https://www.neuro.mcw.edu/mcword/),,,,baping,6,NA,8,1.9,6790.4,643.17,1851.05,161.2,952.64,71.75,200469.63,28779.5,26335.42,5085.6,7819.67,1904.75
sover,5,9,"9,386","2,346.50","2,131",752.207,197.634,-0.068,29,0.906,x,sover,1.35,,,,,,caboofle,8,NA,1,0.12,2878.37,733.25,210.44,60.29,3.91,2.83,249641.87,30302.38,14911.76,2094.86,742.25,118.83
