Word,Freq,Conc.M,POS,Conc.Cat,Freq.Cat,Code1,Code2,Code3,MIEO,pic_overlap,Graves_Phono/Ortho_Consistency,story_overlap,Length,Ortho_N,Phono_N,Semantic_Neighborhood_Density,Semantic_Neighbors,Semantic_Diversity,Age_Of_Acquisition,Body_Object_Interaction,Emotional_Valence,Emotional_Arousal,Emotional_Dominance,Assoc_Freq_R1,Assoc_Types_R1,Assoc_Freq_R123,Assoc_Types_R123,NPhon,NSyll,I_Mean_RT,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Mean_Accuracy
centimeter,5.775,4.13,n,conc,low,20,1,12,180,180,180,180,10,0,0,0.489,0,#,8.56,1.64,#,#,#,11,8,47,19,9,4,745.848,0.97,789.56,0.962
millimeter,5.855,4.38,n,conc,low,20,1,12,180,180,180,180,10,0,2,0.484,0,#,9.37,1.96,4.86,3.62,5.75,10,2,21,6,8,4,731.129,0.94,763.4,1
kilometer,5.981,4.07,n,conc,low,20,1,12,180,180,180,180,9,0,1,0.562,3,#,8.61,2.087,5.52,4.1,4.81,28,10,74,16,8,4,794.9,0.97,748.889,1
mile,9.175,3.63,n,conc,mid,19,1,12,180,180,180,5,4,22,36,0.613,"3,513",1.669,7.65,2.125,4.78,3.43,5.33,83,27,162,55,3,1,618.121,0.97,538.741,1
inch,9.7,4.37,n,conc,mid,19,1,12,180,180,180,5,4,2,3,0.609,"3,477",1.792,5.11,1.667,5.4,3.29,4.46,48,16,122,36,3,1,674.839,1,559.52,1
toasting,5.434,4.93,v,conc,low,44,2,12,2,180,180,180,8,3,8,0.263,0,1.572,4.67,#,#,#,#,2,1,3,2,6,2,664.938,0.91,631.36,1
frying,6.912,4.37,v,conc,mid,43,2,12,180,180,180,180,6,5,7,#,#,#,#,#,#,#,#,#,#,#,#,5,2,#,#,#,#
pouring,7.585,3.8,v,conc,mid,43,2,12,2,1,180,180,7,4,16,0.492,0,1.784,5,#,#,#,#,6,3,20,12,5,2,680.062,0.97,640.63,0.964
mixing,8.57,3.82,v,conc,mid,43,2,12,2,1,180,180,6,5,3,0.6,"3,061",1.796,5.11,#,#,#,#,5,4,36,28,6,2,636.879,1,605.556,1
cooking,8.793,4.19,v,conc,mid,43,2,12,2,180,180,8,7,9,9,0.601,"3,525",1.432,5.1,#,6.77,4.19,7.27,454,137,"1,429",417,5,2,586.212,1,562.269,1
such,12.824,1.48,a,abs,high,7,3,12,180,180,180,1,4,3,15,0.696,"9,076",2.348,6.424,#,#,#,#,9,7,19,12,3,1,620.25,0.88,603.259,1
those,12.938,2.32,DT,abs,high,12,3,12,180,180,180,3,5,4,31,0.696,"9,339",2.324,5.007,2,#,#,#,15,3,75,20,3,1,629.097,0.97,598.241,1
these,13.291,2.03,DT,abs,high,12,3,12,180,180,1,3,5,3,27,0.697,"9,433",2.358,6.424,1.565,#,#,#,4,4,33,17,3,1,706.559,0.97,661.6,1
this,14.995,2.14,DT,abs,high,12,3,12,180,180,180,3,4,5,8,0.702,"9,931",2.372,4.932,1.72,#,#,#,150,82,318,188,3,1,632.125,0.97,583.556,1
that,15.476,1.54,IN,abs,high,16,3,12,180,180,180,4,4,12,17,0.703,"9,891",2.351,5.529,1.348,#,#,#,170,53,323,126,3,1,608.7,0.94,577.556,1
moth,6.244,4.69,n,conc,low,20,4,9,4,180,1,180,4,6,14,0.508,0,1.362,5.74,4.84,4.47,2.55,4.6,25,17,83,48,3,1,679.4,0.94,590.536,1
beetle,6.933,4.83,n,conc,mid,19,4,9,180,1,180,180,6,0,8,0.552,12,1.379,5.32,5.167,4.2,4.45,5.93,43,15,115,32,4,2,618,1,640.179,1
butterfly,7.494,4.9,n,conc,mid,19,4,9,180,180,180,180,9,0,0,0.574,"1,229",1.578,3.67,4.25,7.23,3.2,5.51,200,40,483,115,7,3,635.03,0.94,620.259,1
ant,7.928,4.86,n,conc,mid,19,4,9,180,1,180,180,3,11,11,0.554,100,1.588,4.32,4.84,3.9,3.27,5.3,120,44,306,107,3,1,592.871,0.94,628.696,0.958
worm,8.321,4.9,n,conc,mid,19,4,9,180,180,1,180,4,10,12,0.555,121,1.372,3.89,4.682,4.86,3.5,5.22,252,57,655,140,3,1,638.636,0.97,586.762,0.778
tennis,8.766,4.43,n,conc,mid,19,5,12,180,180,180,180,6,1,5,0.605,"3,462",1.223,7.53,4.091,5.4,3.89,5.68,217,62,534,151,5,2,568.794,1,581.923,1
soccer,8.923,4.76,n,conc,mid,19,5,12,180,180,180,180,6,0,19,0.607,"3,265",1.215,5.89,4.64,5.84,4.68,5.77,237,78,586,218,4,2,626.621,0.91,659.963,1
golf,9.254,4.52,n,conc,mid,19,5,12,180,180,180,180,4,4,2,0.625,"5,070",1.131,7.16,4.76,5.67,3.68,5.81,268,63,638,152,4,1,531.882,1,551.893,1
hockey,9.409,4.31,n,conc,mid,19,5,12,180,180,180,180,6,2,12,0.605,"3,127",1.203,5.44,3.208,5.32,4.06,5.04,144,45,336,117,4,2,665.939,1,564.148,0.964
