@ @ @
the 0 0.400
Cowardly 0.400 0.900
Lion 0.900 1
and 1 1.400
the 1.400 1.500
Hungry 1.500 1.600
Tiger 1.600 1.800
@ @ @
in 1.800 3
the 3 3.100
splendid 3.100 3.500
palace 3.500 3.700
of 3.700 4.100
the 4.100 4.100
Emerald 4.100 4.500
City 4.500 4.700
which 4.700 5.200
is 5.200 5.300
in 5.300 5.400
the 5.400 5.500
center 5.500 5.900
of 5.900 6
the 6 6.100
Fairy 6.100 6.400
Land 6.400 6.600
of 6.600 6.700
Oz 6.700 7.100
is 7.100 7.700
a 7.700 7.800
great 7.800 8
throne 8 8.500
room 8.500 8.700
@ @ @
this 9.800 10.200
is 10.200 10.400
where 10.400 10.500
Princess 10.500 10.900
Ozma 10.900 11.300
the 11.300 11.400
ruler 11.400 11.900
sits 11.900 12.600
in 12.600 12.700
a 12.700 12.800
throne 12.800 13
of 13 13.200
glistening 13.200 13.600
emeralds 13.600 14.100
for 14.100 14.300
an 14.300 14.400
hour 14.400 14.700
each 14.700 14.800
day 14.800 15.200
and 15.200 15.600
listens 15.600 15.800
to 15.800 16.100
all 16.100 16.300
the 16.300 16.400
troubles 16.400 16.900
of 16.900 16.900
her 16.900 17.100
people 17.100 17.500
which 17.500 18
they 18 18.100
are 18.100 18.200
sure 18.200 18.500
to 18.500 18.600
tell 18.600 18.900
her 18.900 19.100
about 19.100 19.200
@ @ @
around 20.400 21.100
Ozma's 21.100 21.500
throne 21.500 21.900
on 21.900 22.100
such 22.100 22.300
occasions 22.300 22.400
are 22.400 23.100
grouped 23.100 23.400
all 23.400 23.600
the 23.600 23.700
important 23.700 24.200
personages 24.200 24.800
of 24.800 25
Oz 25 25.400
such 25.400 25.900
as 25.900 26.100
the 26.100 26.200
Scarecrow 26.200 26.500
Tiktok 26.500 27.700
the 27.700 27.800
Clockwork 27.800 28.300
Man 28.300 28.600
the 28.600 29.200
Tin 29.200 29.400
Woodman 29.400 29.800
The 29.800 30.300
Wizard 30.300 30.600
of 30.600 30.600
Oz 30.600 30.800
and 30.800 31.400
other 31.400 31.500
famous 31.500 31.900
fairy 31.900 32.300
people 32.300 32.600
@ @ @
little 32.600 33.600
Dorothy 33.600 33.900
usually 33.900 34.500
has 34.500 34.700
a 34.700 34.800
seat 34.800 35.100
at 35.100 35.200
Ozma's 35.200 35.600
feet 35.600 35.900
and 35.900 36.500
crouched 36.500 36.800
on 36.800 36.900
either 36.900 37.200
side 37.200 37.500
the 37.500 37.700
throne 37.700 38.100
are 38.100 38.200
two 38.200 38.400
enormous 38.400 38.700
beasts 38.700 39.300
known 39.300 39.700
as 39.700 39.800
the 39.800 39.900
Hungry 39.900 40.200
Tiger 40.200 40.600
and 40.600 40.900
the 40.900 41
Cowardly 41 41.400
Lion 41.400 41.500
@ @ @
these 42.800 43.300
two 43.300 43.600
beasts 43.600 44
are 44 44.300
Ozma's 44.300 44.800
chief 44.800 45.100
guardians 45.100 45.200
but 45.200 46.100
as 46.100 46.200
everyone 46.200 46.600
loves 46.600 47
the 47 47.100
beautiful 47.100 47.500
girl 47.500 47.700
princess 47.700 48.100
there 48.100 48.600 
has 48.600 48.700
never 48.700 48.900
been 48.900 49
any 49 49.400
disturbance 49.400 49.900
in 49.900 50
the 50 50.100
great 50.100 50.300
throne 50.300 50.400
room 50.400 51
or 51 51.600
anything 51.600 51.900
for 51.900 52.300
the 52.300 52.300
guardians 52.300 52.800
to 52.800 53
do 53 53.200
but 53.200 53.500
look 53.500 53.600
fierce 53.600 54.100
and 54.100 54.300
solemn 54.300 54.800
and 54.800 55
keep 55 55.200
quiet 55.200 55.500
until 55.500 55.900
the 55.900 56
royal 56 56.400
audience 56.400 56.600
is 56.600 57
over 57 57.100
and 57.100 57.800
the 57.800 57.900
people 57.900 58.200
go 58.200 58.300
away 58.300 58.500
to 58.500 58.700
their 58.700 58.900
homes 58.900 59.300
@ @ @
of 59.300 60.600
course 60.600 61
no 61 61.400
one 61.400 61.600
would 61.600 61.800
dare 61.800 61.900
be 61.900 62.200
naughty 62.200 62.600
while 62.600 62.800
the 62.800 62.900
huge 62.900 63.200
Lion 63.200 63.600
and 63.600 63.700
Tiger 63.700 64.100
crouched 64.100 64.400
beside 64.400 64.700
the 64.700 65
throne 65 65.100
but 66.400 66.800
the 66.800 66.900
fact 66.900 67.100
is 67.100 67.300
the 67.300 67.700
people 67.700 68
of 68 68.100
Oz 68.100 68.500
are 68.500 68.700
very 68.700 69
seldom 69 69.500
naughty 69.500 69.800
@ @ @
so 69.800 70.900
Ozma's 70.900 71.400
big 71.400 71.600
guards 71.600 72
are 72 72.100
more 72.100 72.400
ornamental 72.400 72.800
than 72.800 73.200
useful 73.200 73.500
@ @ @
no 74.500 75
one 75 75.100
realizes 75.100 75.600
that 75.600 75.800
better 75.800 76.100
than 76.100 76.200
the 76.200 76.300
beasts 76.300 76.600
themselves 76.600 76.800
@ @ @
one 76.800 78.500
day 78.500 78.700
after 78.700 79
everyone 79 79.500
had 79.500 79.600
left 79.600 79.700
the 79.700 79.900
throne 79.900 80.100
room 80.100 80.300
except 80.300 80.600
the 80.600 80.900
Cowardly 80.900 81.500
Lion 81.500 81.500
and 81.500 81.800
the 81.800 82
Hungry 82 82
Tiger 82 82.300
the 82.300 83.700
Lion 83.700 84.100
yawned 84.100 84.500
and 84.500 84.700
said 84.700 84.900
to 84.900 85
his 85 85.200
friend 85.200 85.600
I'm 85.600 86.500
getting 86.500 86.900
tired 86.900 87.500
of 87.500 87.600
this 87.600 87.700
job 87.700 87.900
@ @ @
no 87.900 89
one 89 89.200
is 89.200 89.300
afraid 89.300 89.500
of 89.500 89.700
us 89.700 90
and 90 90.400
no 90.400 90.500
one 90.500 90.700
pays 90.700 91
any 91 91.100
attention 91.100 91.400
to 91.400 91.900
us 91.900 92
@ @ @
that 93.300 93.800
is 93.800 93.900
true 93.900 94.300
replied 94.300 94.900
the 94.900 95
big 95 95.100
Tiger 95.100 95.500
purring 95.500 95.900
softly 95.900 96.500
@ @ @
we 96.500 97.400
might 97.400 97.700
as 97.700 97.800
well 97.800 97.900
be 97.900 98.200
in 98.200 98.300
the 98.300 98.400
thick 98.400 98.500
jungles 98.500 99.100
where 99.100 99.200
we 99.200 99.400
were 99.400 99.500
born 99.500 100
as 100 100.100
trying 100.100 100.400
to 100.400 100.600
protect 100.600 100.900
Ozma 100.900 101.400
when 101.400 101.500
she 101.500 101.600
needs 101.600 102.100
no 102.100 102.200
protection 102.200 102.300
@ @ @
and 102.300 104.100
I'm 104.100 104.300
dreadfully 104.300 105
hungry 105 105.200
all 105.200 105.800
the 105.800 105.900
time 105.900 106
@ @ @
you 107.400 107.700
have 107.700 108
enough 108 108.200
to 108.200 108.300
eat 108.300 108.500
I'm 108.500 108.800
sure 108.800 109.100
said 109.100 109.700
the 109.700 109.800
Lion 109.800 110.100
swaying 110.100 110.700
his 110.700 110.800
tail 110.800 111
slowly 111 111.500
back 111.500 111.800
and 111.800 112
forth 112 112.400
@ @ @
enough 112.400 113.200
perhaps 113.200 113.500
but 113.500 114.100
not 114.100 114.300
the 114.300 114.500
kind 114.500 114.700
of 114.700 114.800
food 114.800 114.900
I 114.900 115.100
long 115.100 115.400
for 115.400 115.900
answered 115.900 116.400
the 116.400 116.600
Tiger 116.600 117
@ @ @
what 117 118
I'm 118 118.400
hungry 118.400 118.600
for 118.600 118.900
is 118.900 119.300
fat 119.300 119.900
babies 119.900 120.500
@ @ @
I 120.500 121.300
have 121.300 121.500
a 121.500 121.600
great 121.600 121.900
desire 121.900 122.100
to 122.100 122.500
eat 122.500 122.700
a 122.700 122.800
few 122.800 123
fat 123 123.400
babies 123.400 123.900
@ @ @
then 123.900 124.500
perhaps 124.500 124.800
the 124.800 125.100
people 125.100 125.200
of 125.200 125.500
Oz 125.500 125.800
would 125.800 125.900
fear 125.900 126.200
me 126.200 126.400
and 126.400 126.800
I'd 126.800 127
become 127 127.300
more 127.300 127.500
important 127.500 127.700
@ @ @
true 127.700 128.800
agreed 128.800 129.400
the 129.400 129.500
Lion 129.500 129.900
@ @ @
it 129.900 130.200
would 130.200 130.300
stir 130.300 130.600
up 130.600 130.800
quite 130.800 131.200
a 131.200 131.200
scene 131.200 131.600
if 131.600 131.700
you 131.700 131.900
ate 131.900 132.100
but 132.100 132.300
one 132.300 132.500
fat 132.500 132.800
baby 132.800 133.200
@ @ @
as 133.200 134.100
for 134.100 134.300
myself 134.300 134.500
my 134.500 135.500
claws 135.500 135.900
are 135.900 136.100
sharp 136.100 136.200
as 136.200 136.600
needles 136.600 136.800
and 136.800 137.100
strong 137.100 137.600
as 137.600 137.700
crowbars 137.700 138.400
@ @ @
my 138.400 139.200
teeth 139.200 139.400
are 139.400 139.500
powerful 139.500 140.100
enough 140.100 140.200
to 140.200 140.300
tear 140.300 140.600
a 140.600 140.600
person 140.600 141
to 141 141.100
pieces 141.100 141.500
in 141.500 141.500
a 141.500 141.600
few 141.600 141.900
