@ @ @
the 0.300 0.700
Cowardly 0.700 1.100
Lion 1.100 1.200
and 1.200 1.700
the 1.700 1.800
Hungry 1.800 1.900
Tiger 1.900 2.200
@ @ @
in 2.200 3.600
the 3.600 3.600
splendid 3.600 4.100
palace 4.100 4.300
of 4.300 4.600
the 4.600 4.700
Emerald 4.700 5.100
City 5.100 5.300
which 5.300 6
is 6 6.100
in 6.100 6.200
the 6.200 6.300
center 6.300 6.700
of 6.700 6.800
the 6.800 6.900
Fairy 6.900 7.200
Land 7.200 7.400
of 7.400 7.500
Oz 7.500 7.900
is 7.900 8.400
a 8.400 8.500
great 8.500 8.800
throne 8.800 9.200
room 9.200 9.500
@ @ @
this 9.500 10
is 10 10.200
where 10.200 10.300
Princess 10.300 10.800
Ozma 10.800 11.300
the 11.300 11.700
ruler 11.700 12.200
sits 12.200 12.700
in 12.700 12.900
a 12.900 13
throne 13 13.200
of 13.200 13.600
glistening 13.600 14.200
emeralds 14.200 14.800
for 14.800 15
an 15 15.100
hour 15.100 15.500
each 15.500 15.600
day 15.600 16.100
and 16.100 16.700
listens 16.700 17
to 17 17.200
all 17.200 17.400
the 17.400 17.600
troubles 17.600 18
of 18 18.100
her 18.100 18.300
people 18.300 18.700
which 18.700 19.500
they 19.500 19.900
are 19.900 20
sure 20 20.400
to 20.400 20.500
tell 20.500 20.800
her 20.800 21.100
about 21.100 21.200
@ @ @
around 21.200 22.400
Ozma's 22.400 22.900
throne 22.900 23.300
on 23.300 23.800
such 23.800 24.200
occasions 24.200 24.300
are 24.300 25.600
grouped 25.600 26
all 26 26.400
the 26.400 26.500
important 26.500 27.200
personages 27.200 28
of 28 28.500
Oz 28.500 28.900
such 28.900 29.500
as 29.500 29.700
the 29.700 29.800
Scarecrow 29.800 30.100
Tiktok 30.100 31.500
the 31.500 31.600
Clockwork 31.600 32.200
Man 32.200 32.500
the 32.500 33.100
Tin 33.100 33.400
Woodman 33.400 34
The 34 34.600
Wizard 34.600 35
of 35 35
Oz 35 35.200
and 35.200 35.900
other 35.900 36
famous 36 36.500
fairy 36.500 37
people 37 37.300
@ @ @
little 38.400 38.900
Dorothy 38.900 39.300
usually 39.300 40.200
has 40.200 40.300
a 40.300 40.400
seat 40.400 40.600
at 40.600 40.800
Ozma's 40.800 41.300
feet 41.300 41.700
and 41.700 42.100
